"Epithelial","Immune","Other","sample"
0.707315558896686,0.292684441103314,0,"MSCCR_reGRID_1_Biopsy_3"
0.914869329481792,0.0771599816203736,0.0079706888978337,"MSCCR_reGRID_1_Biopsy_2"
0.885537963727171,0.087141665619001,0.0273203706538281,"MSCCR_reGRID_1_Biopsy_1"
0.804711981348706,0.160175922875217,0.035112095776077,"MSCCR_reGRID_3_Biopsy_6"
0.912914525541604,0.0870854744583952,0,"MSCCR_reGRID_3_Biopsy_5"
0.881393407554377,0.110433460526572,0.008173131919051,"MSCCR_reGRID_3_Biopsy_4"
0.784395315288562,0.21061329869453,0.00499138601690824,"MSCCR_reGRID_4_Biopsy_9"
0.776282159825648,0.223717840174352,0,"MSCCR_reGRID_4_Biopsy_7"
0.788065376263185,0.211934623736814,0,"MSCCR_reGRID_4_Biopsy_8"
0.774901641293392,0.223970376959884,0.00112798174672407,"MSCCR_reGRID_5_Biopsy_10"
0.837026951536376,0.162973048463623,0,"MSCCR_reGRID_5_Biopsy_11"
0.770487102880332,0.199892069917871,0.029620827201797,"MSCCR_reGRID_5_Biopsy_12"
0.909013978376397,0.065635310080541,0.0253507115430613,"MSCCR_reGRID_6_Biopsy_13"
0.901063780708919,0.09454938077557,0.00438683851551069,"MSCCR_reGRID_6_Biopsy_14"
0.844248960322938,0.155209215976892,0.000541823700169974,"MSCCR_reGRID_7_Biopsy_16"
0.835959638589052,0.154440156753945,0.00960020465700195,"MSCCR_reGRID_7_Biopsy_15"
0.821678903965655,0.168014038970617,0.0103070570637277,"MSCCR_reGRID_9_Biopsy_17"
0.926131669664498,0.0562620815736586,0.0176062487618434,"MSCCR_reGRID_10_Biopsy_18"
0.896528076122268,0.0848605725470466,0.018611351330685,"MSCCR_reGRID_10_Biopsy_20"
0.948092839023235,0.0519071609767651,0,"MSCCR_reGRID_10_Biopsy_19"
0.861760358098917,0.131586523335121,0.00665311856596151,"MSCCR_reGRID_11_Biopsy_21"
0.790894470092549,0.187728074567909,0.0213774553395429,"MSCCR_reGRID_12_Biopsy_22"
0.906400825484991,0.0935991745150084,0,"MSCCR_reGRID_12_Biopsy_23"
0.882243524562909,0.113057828536844,0.00469864690024757,"MSCCR_reGRID_12_Biopsy_24"
0.895459317298509,0.104540682701491,0,"MSCCR_reGRID_13_Biopsy_25"
0.892212951170175,0.107787048829825,0,"MSCCR_reGRID_13_Biopsy_26"
0.931672549589324,0.0683274504106767,0,"MSCCR_reGRID_13_Biopsy_27"
0.988992607558631,0.0110073924413694,0,"MSCCR_reGRID_14_Biopsy_28"
0.907217558791623,0.0927824412083772,0,"MSCCR_reGRID_14_Biopsy_29"
0.927996700014032,0.0720032999859681,0,"MSCCR_reGRID_14_Biopsy_30"
0.781291602422351,0.201430776650909,0.0172776209267395,"MSCCR_reGRID_15_Biopsy_32"
0.891115926390768,0.108884073609232,0,"MSCCR_reGRID_15_Biopsy_31"
0.863855411667723,0.134542909807882,0.00160167852439452,"MSCCR_reGRID_15_Biopsy_33"
0.797949736869089,0.198679892448234,0.00337037068267698,"MSCCR_reGRID_16_Biopsy_34"
0.887296412514404,0.112703587485596,0,"MSCCR_reGRID_16_Biopsy_35"
0.952428820680622,0.0475711793193786,0,"MSCCR_reGRID_16_Biopsy_36"
0.770375528991643,0.229624471008357,0,"MSCCR_reGRID_17_Biopsy_38"
0.854690657459159,0.145309342540841,0,"MSCCR_reGRID_17_Biopsy_37"
0.864911041257199,0.135088958742801,0,"MSCCR_reGRID_17_Biopsy_39"
0.915313257241792,0.0666962336172766,0.0179905091409308,"MSCCR_reGRID_18_Biopsy_40"
0.920101510700531,0.0640828256936928,0.0158156636057759,"MSCCR_reGRID_18_Biopsy_41"
0.913291718959667,0.070809767308835,0.0158985137314976,"MSCCR_reGRID_18_Biopsy_42"
0.806839887684662,0.183478171116086,0.0096819411992527,"MSCCR_reGRID_19_Biopsy_43"
0.90466494546863,0.0897579165307312,0.00557713800063897,"MSCCR_reGRID_19_Biopsy_44"
0.947813707245929,0.0521862927540711,0,"MSCCR_reGRID_19_Biopsy_45"
0.763844000722473,0.228158158073168,0.00799784120435987,"MSCCR_reGRID_20_Biopsy_46"
0.844088653652283,0.137591740619379,0.0183196057283381,"MSCCR_reGRID_20_Biopsy_47"
0.81645078942882,0.168350584805738,0.0151986257654416,"MSCCR_reGRID_20_Biopsy_48"
0.704100761346733,0.295899238653267,0,"MSCCR_reGRID_22_Biopsy_49"
0.789048321135327,0.210951678864673,0,"MSCCR_reGRID_22_Biopsy_50"
0.803152842473258,0.196847157526743,0,"MSCCR_reGRID_22_Biopsy_51"
0.799407006789806,0.198912446045099,0.00168054716509447,"MSCCR_reGRID_24_Biopsy_53"
0.823317370752625,0.176682629247375,0,"MSCCR_reGRID_24_Biopsy_52"
0.836759269440615,0.161295987553087,0.00194474300629766,"MSCCR_reGRID_25_Biopsy_54"
0.863604596196709,0.13639540380329,0,"MSCCR_reGRID_25_Biopsy_56"
0.825744654355329,0.174255345644671,0,"MSCCR_reGRID_25_Biopsy_55"
0.770586540595536,0.20927559185636,0.0201378675481041,"MSCCR_reGRID_27_Biopsy_57"
0.897961712259034,0.0954310980835796,0.00660718965738571,"MSCCR_reGRID_27_Biopsy_58"
0.888281138201741,0.101176205151789,0.0105426566464694,"MSCCR_reGRID_27_Biopsy_59"
0.758867003633587,0.202340181968074,0.0387928143983384,"MSCCR_reGRID_28_Biopsy_60"
0.83336183755496,0.126481281941633,0.0401568805034059,"MSCCR_reGRID_28_Biopsy_61"
0.823645066340424,0.156133906001802,0.020221027657774,"MSCCR_reGRID_29_Biopsy_62"
0.846746894697717,0.153253105302283,0,"MSCCR_reGRID_29_Biopsy_63"
0.927920319270143,0.0720796807298575,0,"MSCCR_reGRID_29_Biopsy_64"
0.763812663234163,0.224033883860101,0.0121534529057354,"MSCCR_reGRID_31_Biopsy_65"
0.843648103810424,0.150238726358155,0.0061131698314203,"MSCCR_reGRID_31_Biopsy_66"
0.783109919430197,0.201955154530617,0.0149349260391857,"MSCCR_reGRID_32_Biopsy_67"
0.84332964237336,0.143124860369551,0.0135454972570889,"MSCCR_reGRID_32_Biopsy_68"
0.781239389240645,0.218760610759355,0,"MSCCR_reGRID_33_Biopsy_69"
0.871984721989374,0.120535940256042,0.00747933775458387,"MSCCR_reGRID_33_Biopsy_70"
0.756646423707317,0.232074708160678,0.0112788681320043,"MSCCR_reGRID_34_Biopsy_72"
