"subset","target","n","rho_point","ci_lower","ci_upper","boot_sd","boot_iqr"
"All_samples","NLRP3",2483,0.331366678653911,0.296568690360398,0.368833405059135,0.0186547721958107,0.0257842963944437
"All_samples","CASP1",2483,-0.163301741580593,-0.20293179497792,-0.121491414158019,0.0213150740621072,0.0291677252359542
"All_samples","IL1B",2483,0.293711537054898,0.259989900245822,0.327889227210234,0.0176183345722118,0.0235658657150016
"All_samples","PYCARD",2483,-0.147367457334127,-0.187822423064012,-0.104074104039033,0.021048450842501,0.0289463993960029
"All_samples","MAP3K7",2483,-0.218696182880551,-0.256628971645819,-0.176640079309773,0.0208596022136227,0.0288332811031433
"All_samples","RELA",2483,0.311843229343787,0.273737189056074,0.346844031671759,0.0187570834699516,0.025079951610532
"All_samples","FOXC1",2483,0.131731062999514,0.0891890042578646,0.172821011212746,0.0206304641140285,0.0267437464784815
"Control","NLRP3",460,0.279498342121244,0.191945282119016,0.358069748155353,0.0424357722157468,0.058050597552475
"Control","CASP1",460,-0.319881418584877,-0.409312084927881,-0.228588372022616,0.0452934283750406,0.0606473018363732
"Control","IL1B",460,0.320597370649771,0.237166805023711,0.397298694927586,0.0414256700719407,0.0551906161869544
"Control","PYCARD",460,-0.149260831305584,-0.233121908557318,-0.0600780973213513,0.0443686054534188,0.0612863384514201
"Control","MAP3K7",460,-0.183711988581742,-0.276628325499608,-0.0940843468722572,0.0467589812703985,0.0631126270244721
"Control","RELA",460,0.255027715485951,0.156644380389447,0.341032296179742,0.0459794312047114,0.060088927034823
"Control","FOXC1",460,0.0103660008671102,-0.0789105493732819,0.103548250842459,0.045820309017139,0.0606329265273543
"UC_inflamed","NLRP3",293,0.394803833114765,0.282336157345185,0.491937507362351,0.0531669633994014,0.0715738820178355
"UC_inflamed","CASP1",293,0.0200831070044109,-0.0902393585198569,0.129894558863941,0.0581935164732973,0.0815399115531684
"UC_inflamed","IL1B",293,0.316949630575354,0.208342951741943,0.416825857632249,0.0514404560266615,0.0685024276527221
"UC_inflamed","PYCARD",293,-0.220755935784407,-0.328185113730647,-0.0991174172567382,0.057642541542414,0.0760397278426762
"UC_inflamed","MAP3K7",293,-0.265690973519002,-0.382598107927748,-0.146015606933694,0.0578959543977746,0.078850021137372
"UC_inflamed","RELA",293,0.421374336405266,0.316528374017905,0.512053970834577,0.0504762982099005,0.0701288369006638
"UC_inflamed","FOXC1",293,0.201777739194203,0.0771670085105112,0.321487594082714,0.0613395190882831,0.0842702979587508
"CD_inflamed","NLRP3",418,0.250365234590198,0.153295208214798,0.3462402347102,0.0481847729937303,0.0663133598683268
"CD_inflamed","CASP1",418,-0.0623052570116392,-0.165079568497054,0.0360902988143768,0.0499118017686122,0.0651767604293849
"CD_inflamed","IL1B",418,0.301505679809173,0.206859903359714,0.381985460679802,0.0432274169454604,0.0561355243113968
"CD_inflamed","PYCARD",418,-0.0848908650749756,-0.181701835031838,0.00993087626017862,0.0493177914101006,0.0656841751523328
"CD_inflamed","MAP3K7",418,-0.254899032343503,-0.344592058773586,-0.150868426985835,0.0486465409798991,0.0646187080967648
"CD_inflamed","RELA",418,0.413184790897412,0.332088992236339,0.484127476369269,0.0409513251050885,0.0569431628773842
"CD_inflamed","FOXC1",418,0.185258907103614,0.0887256827500336,0.275723619835695,0.0495687811930737,0.0682278730591118
