"broad","condition","mean_SIRT6","pct_expressing","n_cells"
"Epithelial","Healthy",0.461671548056557,20.5451272820777,3889
"Epithelial","UC_noninflamed",0.367723418830011,16.4516129032258,2170
"Epithelial","UC_inflamed",0.37456612510058,16.8851599370739,3814
"Immune","Healthy",0.0273988178976336,1.47492625368732,339
"Immune","UC_noninflamed",0.0782033061909336,3.90977443609023,665
"Immune","UC_inflamed",0.0350666774526666,1.65289256198347,242
"Other","Healthy",0,0,19
"Other","UC_noninflamed",0.235989923590971,11.1111111111111,9
"Other","UC_inflamed",0.206402985659601,10.5263157894737,19
