"subset","n","target_label","target_gene","rho","p","q"
"All_samples",194,"NLRP3","NLRP3",-0.0951239455486023,0.187050553021533,0.261870774230146
"All_samples",194,"CASP1","CASP1",-0.254832705353511,0.000335975088657836,0.00117591281030243
"All_samples",194,"IL1B","IL1B",-0.0847826176280853,0.239846206909888,0.279820574728203
"All_samples",194,"ASC","PYCARD",-0.0308390823961573,0.66947810751677,0.66947810751677
"All_samples",194,"TAK1","MAP3K7",-0.110404194384751,0.125398242524469,0.219446924417821
"All_samples",194,"NFKB_p65","RELA",0.142777547221754,0.0470337667273096,0.109745455697056
"All_samples",194,"FOXC1","FOXC1",0.264197754064748,0.000197316419652326,0.00117591281030243
"Control",22,"NLRP3","NLRP3",-0.505364201016375,0.016432200785231,0.0403428917992356
"Control",22,"CASP1","CASP1",-0.693958215697346,0.000340577348235254,0.00238404143764678
"Control",22,"IL1B","IL1B",0.236589497459063,0.289112500128128,0.40475750017938
"Control",22,"ASC","PYCARD",0.0954263128176172,0.672712133201115,0.784830822067968
"Control",22,"TAK1","MAP3K7",-0.0355731225296443,0.875116871458223,0.875116871458223
"Control",22,"NFKB_p65","RELA",-0.50197628458498,0.017289810771101,0.0403428917992356
"Control",22,"FOXC1","FOXC1",0.302089215132693,0.171816168443649,0.300678294776386
"UC",97,"NLRP3","NLRP3",-0.435461813591416,8.2815150275491e-06,2.89853025964218e-05
"UC",97,"CASP1","CASP1",0.129562907637282,0.205927527536688,0.240248782126136
"UC",97,"IL1B","IL1B",-0.40632232274353,3.63462510005843e-05,8.48079190013635e-05
"UC",97,"ASC","PYCARD",0.520592257521565,4.60484796858781e-08,3.22339357801146e-07
"UC",97,"TAK1","MAP3K7",-0.243070166210814,0.0164387216038636,0.0287677628067613
"UC",97,"NFKB_p65","RELA",0.189446139280454,0.0630968990712037,0.0883356586996852
"UC",97,"FOXC1","FOXC1",0.0610403955396592,0.552552946118301,0.552552946118301
"CD",75,"NLRP3","NLRP3",0.0443243243243243,0.705729034726035,0.813629493741747
"CD",75,"CASP1","CASP1",-0.0276813655761024,0.813629493741747,0.813629493741747
"CD",75,"IL1B","IL1B",0.160426742532006,0.16915475243703,0.394694422353069
"CD",75,"ASC","PYCARD",0.126941678520626,0.277797585316741,0.486145774304297
"CD",75,"TAK1","MAP3K7",-0.0681934566145092,0.561017520916191,0.785424529282667
"CD",75,"NFKB_p65","RELA",0.173854907539118,0.135771276862474,0.394694422353069
"CD",75,"FOXC1","FOXC1",0.29778093883357,0.00946751767609629,0.066272623732674
