"target","k","pooled_z","pooled_rho","pooled_lower","pooled_upper","p_pooled","I2","tau2","Q_p"
"TAK1",8,-0.573358109309401,-0.517821219680759,-0.537718535193871,-0.497347438197505,0,0.0270751635155402,5.60136878161401e-07,0.564082767323662
"NLRP3",8,-0.527647620146422,-0.48358086704436,-0.504420191672581,-0.462178513458554,6.03704654574681e-308,0,0,0.742889933856454
"CASP1",8,-0.436703851806024,-0.410908550335361,-0.506187302091029,-0.30572016901509,1.43740341460316e-12,90.0459314510712,0.0187097913466875,9.44182805702717e-06
"FOXC1",8,-0.360794297672273,-0.345913481248876,-0.534741478517799,-0.124182266707969,0.00272845594680326,97.825898970461,0.093063547282604,7.62000685042975e-07
"IL1B",8,-0.184153216387458,-0.182099379172654,-0.387229253052678,0.0402082843865764,0.107712735403173,97.5638629591881,0.0828309703228929,2.31489840305337e-06
"NFKB_p65",8,0.250611068934123,0.245492990248783,0.219293727724389,0.271338468788287,2.27745785567603e-70,0.2682242361155,5.56249894740807e-06,0.112398874668698
"ASC",8,0.421654282333212,0.398323160139092,0.097764674773199,0.632294981377553,0.0106480730464641,98.9229246036957,0.189957444663458,1.70166541192895e-15
