"gene","kME"
"NDUFS7",0.990223715720263
"TMUB1",0.989599657185708
"NME3",0.988225512516463
"PPP1R16A",0.987260702706818
"GPAA1",0.98706375649509
"FBXW5",0.986765016760584
"SCAND1",0.98604350128296
"NR1H2",0.985243608313075
"RAB11B",0.984917675755418
"BCAR1",0.984240574559909
"E4F1",0.98391664881023
"HSF1",0.98371965039079
"CLDN3",0.98319615068458
"CORO1B",0.983073470742109
"FBXL15",0.982497084805538
"MZT2B",0.982391136420488
"CTBP1",0.981997684975509
"COMTD1",0.980982227235495
"WDR13",0.98085496585855
"TMEM259",0.980727184174504
"ZNF787",0.980478636720329
"RNPEPL1",0.980476681514912
"PPP1R37",0.980310622561095
"PIGQ",0.979249169594306
"RHOT2",0.979239010017757
"RBM42",0.979060442749477
"EMC10",0.978265661426259
"FAM173A",0.978092050553477
"RABEP2",0.978052199341366
"SCRIB",0.977976880156955
