"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.33108501034976e-269,4.34875909648194,0.601,0.059,1.61081528675113e-264,"Epithelial","PRSS3"
1.01743279341863e-268,2.81277661206189,0.67,0.142,1.96720630607493e-264,"Epithelial","SPINT2"
4.10181614529549e-267,1.87040809387033,0.776,0.381,7.93086151692882e-263,"Epithelial","BSG"
8.92829050830317e-264,0.780271892193118,0.984,0.916,1.72628496978042e-259,"Epithelial","MYL6"
3.44348201020143e-263,4.21240301976394,0.592,0.052,6.65797246672447e-259,"Epithelial","S100A16"
1.08759976683106e-262,0.619804185928115,0.991,0.966,2.10287414916786e-258,"Epithelial","SERF2"
1.12779176138331e-258,1.94881049382259,0.74,0.278,2.18058537063462e-254,"Epithelial","TSPO"
1.21838228489992e-258,0.791254073859267,0.961,0.898,2.35574214785399e-254,"Epithelial","COX4I1"
8.54036372910519e-257,1.3411955294835,0.857,0.582,1.65127932702249e-252,"Epithelial","COX6A1"
1.3145732017733e-256,1.03644479524917,0.934,0.725,2.54172728562868e-252,"Epithelial","EDF1"
7.16960270697168e-253,1.07183960271944,0.918,0.776,1.38624268339298e-248,"Epithelial","NEAT1"
1.59884502023676e-252,3.69575393538766,0.594,0.064,3.09136684662777e-248,"Epithelial","KLF4"
8.95079718017751e-252,0.58327273649696,0.989,0.994,1.73063663478732e-247,"Epithelial","MT-ATP6"
1.76713356680945e-249,1.39383082288323,0.869,0.463,3.41675275142607e-245,"Epithelial","FOS"
9.69263297341814e-249,2.36210640298375,0.689,0.236,1.8740705854104e-244,"Epithelial","CYSTM1"
1.1658116300373e-246,3.94231910547415,0.589,0.08,2.25409678667713e-242,"Epithelial","MT1G"
8.35545936694424e-246,2.1043605397796,0.697,0.243,1.61552806859867e-241,"Epithelial","ROMO1"
7.06294018681402e-245,1.63215474251733,0.775,0.39,1.36561948512049e-240,"Epithelial","ATP5J"
4.20487560241558e-243,2.30999581736805,0.671,0.206,8.13012697727053e-239,"Epithelial","CYC1"
9.78320384797515e-243,1.39893498899601,0.842,0.493,1.891582464006e-238,"Epithelial","CD63"
2.65288620236208e-242,3.35421058326555,0.605,0.102,5.12935547226708e-238,"Epithelial","MT1E"
4.89440834640211e-241,2.50497554895246,0.719,0.301,9.46333853776848e-237,"Epithelial","TFF3"
2.23099119910347e-240,2.344931764451,0.689,0.268,4.31362148346656e-236,"Epithelial","SRI"
1.09954792760963e-239,1.08562991300983,0.886,0.697,2.12597591803322e-235,"Epithelial","COX7A2"
1.22734139965061e-239,3.27500375594017,0.598,0.097,2.37306459622446e-235,"Epithelial","GPX2"
3.10732311953829e-237,1.92988792096674,0.729,0.229,6.00800925162728e-233,"Epithelial","HSPA1B"
4.91102749402463e-234,1.14539584860573,0.892,0.684,9.49547165969662e-230,"Epithelial","ALDOA"
2.16516360627498e-233,4.42993877527172,0.55,0.05,4.18634383273267e-229,"Epithelial","CEACAM5"
4.02720600785182e-232,2.85394861519859,0.621,0.159,7.7866028161815e-228,"Epithelial","ETHE1"
1.83428144821562e-231,2.40418587327113,0.658,0.179,3.54658318012491e-227,"Epithelial","ATF3"
1.06847998847963e-229,0.584881767644128,0.984,0.988,2.06590605772536e-225,"Epithelial","MT-CYB"
3.56647996228156e-229,1.72293991456267,0.731,0.324,6.8957890070714e-225,"Epithelial","AURKAIP1"
1.35381412359518e-228,3.05241951857252,0.587,0.104,2.61759960797128e-224,"Epithelial","CD151"
4.73999636906845e-228,4.10381356957896,0.547,0.056,9.16478297959385e-224,"Epithelial","MUC13"
7.3562459809791e-227,4.20144961925384,0.538,0.043,1.42233016042231e-222,"Epithelial","AGR3"
